pacemaker cell (0)	HCN4	Cx45	PRM1	CABS1	PRM2	HMGB4	GTSF1L	TXNDC2	DRICH1	CCDC54	C3ORF22	FSCB	KIF2B	CAPZA3	SPATA3	RNF148	TBC1D28	PPP1R2P9	SPATA31A1	C7ORF34	RP11.1379J22.7	RP11.798K23.3	CTA.246H3.8	SPATA31C2	HSFY1P1	RP11.98J23.1	RP11.566K19.5	SMCP	TRIM42	TCP11	C21ORF140	TBC1D3F	RP11.384K6.6	FAM71B	RNF151	CTC.441N14.4	FAM71C	RP11.404K5.2	TPD52L3	ODF1	PRR30	RP11.360D2.1	TMCO5B	C2ORF57	TBATA	SRRM5	SPATA31D1	DUSP21	RP11.266L9.3	SPZ1	CCDC168	OR2H1	CRISP2	RNF133	TMEM31	PRNT	SPPL2C	ACSBG2	OR7E156P	C20ORF173	SPATA31D5P	SPATA31C1	RP11.613H2.1	AC130709.1	FAM205A	U51561.1	SPATA31A3	TPPP2	RP11.104H15.12	C20ORF141	TMCO2	MYH6	TSSK6	AKAP4	FAM71E2	CALR3	GOLGA6L7P	CCDC188	TSKS	BPIFA3	ACTL7B	SPANXN5	PGK2	FAM205BP	SPATA31E1	SPACA4	RP11.578F21.4	HOMER2P1	LELP1	FAM71F1	H1FNT	RP11.249L12.1	DNAJB8	TNP1	RP11.526D8.7	PRSS37	PRM3	OR7E104P	TMEM191C	FAM183BP	SLC6A10P	C10ORF62
endothelial cell (156)	PECAM1	VWF	CDH5	TIE1	ROBO4	ACVRL1	CD93	CLEC14A	HSPG2	MMRN2	PTPRB	MCAM	APLN	BCL6B	ECSCR	PLXND1	RASIP1	HYAL2	ADGRL4	FGD5	ARHGEF15	TEK	MMRN1	CALCRL	FAM43A	CXORF36	TGFBR2	ADGRF5	FLT4	SOX18	FAM198B	CDH5	VWF	HHIP	PECAM1	EFEMP1	ESAM	AFAP1L1	DLL4	GJA4	LAMA4	DOCK6	PCDH12	PDGFB	FLT1	ECE1	LYVE1	FZD4	ENG	DYSF	BMP6	EDN1	EPAS1	NOS3	SCARF1	ICAM2	ARAP3	NOTCH4	AC255361.1	TNFSF18	HSPA12B	KIAA1462	CRIM1	EMCN	COL4A2	SOX7	BMX	SHANK3	EGFL7	DCHS1	PEAR1	LRRC32	EPHB4	HTR1B	EHD4	SASH1	PCDH1	ARHGAP31	COL18A1	THBS1	LAMB1	ITGA5	PLVAP	GIMAP8	KDR	GNAI2	PPM1F	CTSS	SEC14L1	TNS1	TLR4	MMP1	NCF2	EVI2B	HLA.E	CSF2RB	MYO1F	TNS2	MPEG1	FLI1	ARAP1	MAP3K3	HCK
valve interstitial cell (157)	PDGFRA	GSN	LRP1	ZCCHC24	ANGPTL2	FBLN2	LAMB2	CYBRD1	KANK2	TNS1	PLIN1	SEMA3G	TUSC5	AQP7	ADIPOQ	GPD1	CHRDL1	TNXB	NID2	TNS2	SORBS1	ECM2	LEP	PNPLA2	LPL	DGKI	LIPE	GPIHBP1	AL513122.2	NPR1	DDR2	CIDEC	PLIN4	TMBIM1	FZD4	RAPGEF3	DPT	EPAS1	ADIRF	ADH1B	FMOD	PTPN13	AQP1	CFD	CDH11	PCOLCE2	AOC3	SOD3	ENG	HSPB6	SCARA5	CD81	AGPAT2	NUCB1	ITGA7	ARHGAP31	FBN1	CLEC3B	RAMP3	C1QTNF1	LIMS2	PLXND1	PLAC9	PDGFRB	ACACB	C14ORF180	MGAT1	LAMC1	GALNT15	ALDH2	FP325317.1	KLF9	PHLDB1	CEBPA	BTNL9	FSTL1	CIDEA	PRELP	COL6A3	ANXA11	TNS3	AL513122.1	COL6A1	KCNIP2	FCGRT	PRRX1	EMP1	C1QC	RECK	MGLL	MYO1C	BOK	CCDC80	RRAS	H6PD	MRAS	G0S2	RETSAT	MAP3K6	C1R	ABCA8	CCL14
endothelial cell (158)	PECAM1	VWF	CDH5	TIE1	ROBO4	ACVRL1	CD93	CLEC14A	HSPG2	MMRN2	PTPRB	MCAM	APLN	BCL6B	ECSCR	PLXND1	RASIP1	HYAL2	ADGRL4	FGD5	ARHGEF15	TEK	MMRN1	CALCRL	FAM43A	CXORF36	TGFBR2	ADGRF5	FLT4	SOX18	FAM198B	CDH5	VWF	HHIP	PECAM1	EFEMP1	ESAM	AFAP1L1	DLL4	GJA4	LAMA4	DOCK6	PCDH12	PDGFB	FLT1	ECE1	LYVE1	FZD4	ENG	DYSF	BMP6	EDN1	EPAS1	NOS3	SCARF1	ICAM2	ARAP3	NOTCH4	AC255361.1	TNFSF18	HSPA12B	KIAA1462	CRIM1	EMCN	COL4A2	SOX7	BMX	SHANK3	EGFL7	DCHS1	PEAR1	LRRC32	EPHB4	HTR1B	EHD4	SASH1	PCDH1	ARHGAP31	COL18A1	THBS1	LAMB1	ITGA5	PLVAP	GIMAP8	KDR	GNAI2	PPM1F	CTSS	SEC14L1	TNS1	TLR4	MMP1	NCF2	EVI2B	HLA.E	CSF2RB	MYO1F	TNS2	MPEG1	FLI1	ARAP1	MAP3K3	HCK
mesothelial cell (159)	CRT	AE1/AE3	MSLN	WT1	SPG7	GATA4	TMEM26	UPK1B	SYT8	AC006116.14	MAGEB3	MUC16	KRT24	AMHR2	INHA	MATR3	SERPINA5	SUSD3	RP11.844P9.2	CES5AP1	EVPL	AHNAK2	HSFX2	TRIM29	VN1R51P	A2ML1	PKP3	RNF215	MAFF	GATA5	AQP5	CLEC18B	B3GNT3	VN1R48P	SCEL	ARHGEF33	RGAG1	WFDC2	EPPK1	HRASLS2	ITGB4	ANXA8L1	AC022153.1	EPS8L2	MICA	KRT74	SERPINF1	ZDHHC8P1	FATE1	KRT16P6	GPAA1P1	NRK	RP11.529A4.7	MYH14	REEP6	KRT19	CD164L2	PLAC1	TNXB	GJB3	ERCC6	MTND5P9	TNS4	FOXP4	TSPAN1	ANO7P1	MAMLD1	CCDC78	ALS2CL	LAMA5	SIAE	AC005758.1	PHF24	PPL	OPN3	WNT6	MST1R	PLXNB2	TMEM167B	RP5.862P8.2	CXCL17	CRHR1	PSCA	ADAM15	KANK4	RPS6KA6	WDR38	CR392000.1	UPK3B	CHRM3	CSDC2	FAM83H	ANXA8	SLC52A3	C19ORF33	RP11.758G22.2	MAPK15	ALDH3B1	CELSR1	MSMB	SCNN1A	MAP3K15	GAS2L2	TMEM190
adipocyte (160)	GPAM	LEP	FASN	CIDEC	GPD1	PLIN1	ADIPOQ	LIPE	TUSC5	AOC3	AQP7	DGAT2	PLIN4	C14ORF180	SEMA3G	CHRDL1	THRSP	FABP4	PNPLA2	FP325317.1	LPL	PCOLCE2	ECM2	ACACB	RETSAT	GYG2	CIDEA	GPIHBP1	CD300LG	SCD	G0S2	AGPAT2	FZD4	DEFB132	ADH1B	ADIRF	SAA1	LGALS12	CD36	BOK	DPT	CEBPA	MRAP	PC	SORBS1	RDH5	ITIH5	KCNIP2	ITGA7	PALMD	PPP1R1A	ALDH2	NPR1	MEOX1	ADRA2A	TNMD	ACO1	TIMP4	CFD	RP5.1052I5.2	HRASLS5	GHR	MGLL	ANGPTL2	FHL1	AIFM2	MCAM	MYO1C	SERPINF1	MRAS	SIK2	PALM2.AKAP2	SREBF1	PCNX3	ACACA	BTNL9	EGFL6	AGRN	UCP1	SLC7A10	ACSS2	LEP	GPAM	INTS1	SLC4A2	PRRC2A	FAM83H	SCAF1	LRP5	CLUH	EIF4G1	MARK2	TRIM28	BCAM	KLK2	SCRIB	PRR12	FAM213A	ALDH1L1	PLAC9	ME1	CORO1B	GSN
Schwann Cell (161)	SOX10	S100	TYR	MLANA	DCT	MMP17	PLOD3	PMEL	MELTF	CSPG4	FAM167B	S100A1	APOD	TBC1D16	IGSF8	ST3GAL4	CLCN7	PLXNB3	CABLES1	SLC45A2	FRG2DP	OCA2	SLC24A5	COL11A2	CDK2	EXTL1	UCN2	LZTS1	MIA	S100B	BCAN	SERPINE2	MPZ	CX3CL1	TYRP1	LGI3	CNP	MITF	ATN1	ITPKB	HMG20B	FMN1	GAS7	BIRC7	BACE2	CDK18	C10ORF90	MYO5A	DAAM2	ABCA2	TTYH3	SEPN1	VAT1	C19ORF71	STAC2	PYGB	COL22A1	MTSS1L	ITIH6	SDC3	GIT1	ERBB3	TTYH2	PTPN23	INTS1	GPR143	CIC	CHADL	PLEKHB1	MFSD12	GPRC5B	LGALS3BP	EFHD1	PLEKHA4	TFAP2A	MBP	IL13RA2	PLP1	CD81	AGAP3	CADM4	MICAL3	CDH19	OTOR	MAG	LTBP3	TUBB4A	PCDHGC3	SORT1	HCN2	ARHGEF11	LZTS2	MED15	RAB38	ROPN1B	SBF1	VGF	MCF2L	CERCAM	ZCCHC24	ACAP3	ABR
smooth muscle cell (162)	MYH11	TAGLN	ACTA2	CNN1	ACTG2	MYL9	MYLK	CSRP1	CALD1	KANK2	PALLD	SMTN	MRVI1	COL16A1	ADGRA2	LIMS2	TAGLN	PGM5	ACTA2	EFEMP2	PARVA	FSTL1	MXRA8	LPP	LMOD1	ADAMTS2	COL5A1	TPM2	COL1A1	LOXL2	ACTN1	TNS1	TUBB6	PDGFRB	FBN1	ITGA11	IGFBP7	EHD2	LTBP2	EMILIN1	PDLIM7	SPARC	LOXL1	SERPINH1	COL6A2	CREB3L1	LAMB2	MRGPRF	TGFB1I1	LAMC1	PTRF	NTN4	ELN	CTGF	CCDC80	ARHGEF17	COL6A1	FERMT2	FLNA	COL4A2	CDH11	PODN	COL5A2	ZNF469	BMP1	ADAMTS12	SSC5D	DDR2	FBXO32	TNS2	SMOC2	ADAM33	KIAA1462	COL14A1	PPP1R12B	GAS6	FN1	RCN3	VASN	PXDN	CKAP4	CD248	MRC2	TPM4	CLIC4	FRMD6	MFGE8	WNT5B	LOX	CRIM1	SCARF2	SYDE1	COPZ2	TIMP2	FKBP10	MYO1C	VCL	ITGB1	COL12A1	ACTC1	CALU	EXT1	CD151
fibroblast (163)	PDGFRA	GSN	DCN	FBLN2	ANGPTL2	CYBRD1	ZCCHC24	KANK2	C1S	C1R	FBLN1	BDKRB2	ECM2	SCARA5	SOD3	CD248	CCDC80	DDR2	MRGPRF	PODN	RECK	LRP1	PDGFRB	ADAM33	FBN1	ADGRA2	TWIST2	PTGIS	EPAS1	FSTL1	MMP2	ISLR	MXRA8	ADH1B	FMOD	EFEMP2	FBLN5	CDH11	PLPP3	COL3A1	COL6A1	HSPB6	TIMP2	PLAC9	PRRX1	IGFBP4	SVEP1	ADAMTS2	PCOLCE	SLIT3	PAMR1	COL6A2	LAMB2	EMILIN1	LAMA4	CLMP	VASN	LOX	EHD2	LOXL1	LAMA2	LTBP2	PARVA	PCDHGA12	CEMIP	MRC2	FKBP9	GREM1	GAS6	RCN3	QSOX1	TNS1	PLIN1	SEMA3G	TUSC5	WNT2	AQP7	ADAMTS5	ADIPOQ	GPD1	CHRDL1	TNXB	NID2	TNS2	SORBS1	LEP	PNPLA2	LPL	DGKI	MFAP4	LIPE	GPIHBP1	AL513122.2	NPR1	LUM	CIDEC	PLIN4	TMBIM1	FZD4	TCF21	RAPGEF3	DPT	ADIRF
endothelial cell (164)	PECAM1	VWF	CDH5	TIE1	ROBO4	ACVRL1	CD93	CLEC14A	HSPG2	MMRN2	PTPRB	MCAM	APLN	BCL6B	ECSCR	PLXND1	RASIP1	HYAL2	ADGRL4	FGD5	ARHGEF15	TEK	MMRN1	CALCRL	FAM43A	CXORF36	TGFBR2	ADGRF5	FLT4	SOX18	FAM198B	CDH5	VWF	HHIP	PECAM1	EFEMP1	ESAM	AFAP1L1	DLL4	GJA4	LAMA4	DOCK6	PCDH12	PDGFB	FLT1	ECE1	LYVE1	FZD4	ENG	DYSF	BMP6	EDN1	EPAS1	NOS3	SCARF1	ICAM2	ARAP3	NOTCH4	AC255361.1	TNFSF18	HSPA12B	KIAA1462	CRIM1	EMCN	COL4A2	SOX7	BMX	SHANK3	EGFL7	DCHS1	PEAR1	LRRC32	EPHB4	HTR1B	EHD4	SASH1	PCDH1	ARHGAP31	COL18A1	THBS1	LAMB1	ITGA5	PLVAP	GIMAP8	KDR	GNAI2	PPM1F	CTSS	SEC14L1	TNS1	TLR4	MMP1	NCF2	EVI2B	HLA.E	CSF2RB	MYO1F	TNS2	MPEG1	FLI1	ARAP1	MAP3K3	HCK
macrophage (165)	CD14	C1QA	FOLR2	RNASE1	C1QC	STAB1	CTSZ	FCGRT	CD163	GRN	LGMN	CD68	SLC15A3	IFI30	CTSB	NPC2	LILRB5	VSIG4	MMP9	LILRB4	TYROBP	SIGLEC1	RAB7B	CMKLR1	FUCA1	ACP5	NINJ1	FTL	NPL	CSF1R	TREM2	MAN2B1	PILRA	EMILIN2	CTSD	GPR84	METRNL	CD4	PLEKHO2	TYMP	ADAP2	C3AR1	PSAP	CREG1	PLAUR	TOM1	TNFRSF1B	SLC43A2	MS4A4A	AIF1	C1QA	FOLR2	SPHK1	CAPG	ICAM1	CD14	OSCAR	CTD.2192J16.22	MMP19	SIGLEC9	TMEM51	SEMA6B	PKD2L1	AMPD3	NR1H3	ENG	FPR3	P2RY6	MGAT1	NFKBIE	SLCO2B1	MSC	TRPM2	SQRDL	CST3	ACP2	CD163L1	FCER1G	CYBA	LGALS9	EHD1	LILRB2	CTSL	RP11.295K3.1	ABHD12	CCR5	PRSS36	PLD3	BCL3	SLC2A6	TNIP1	TPRA1	RELB	KCNN4	SPI1	HCK	C5AR1	CLEC5A	SLAMF8	C1QB	MARCO	HK3	CCR1
lymphocyte (166)	CD3	CD20
